GYRO;0.457;1696.521;-0.15041;-0.10681;-0.00796;3
AHRS;0.458;1696.523;29.7857;-0.1922;-162.5098;-0.03747;0.25427;0.95524;3
MAGN;0.472;1696.545;-7.68750;-39.62500;-18.31250;3
ACCE;0.475;1696.542;-0.09082;4.99284;8.29875;3
GYRO;0.476;1696.541;-0.10790;0.06219;0.03487;3
AHRS;0.477;1696.542;29.6235;-0.3032;-162.5216;-0.03631;0.25306;0.95565;3
MAGN;0.492;1696.565;-7.75000;-39.50000;-18.56250;3
ACCE;0.498;1696.563;-0.19723;4.87681;8.30654;3
GYRO;0.499;1696.561;-0.09720;0.16631;0.05985;3
AHRS;0.499;1696.563;29.4950;-0.2522;-162.4748;-0.03668;0.25191;0.95585;3
MAGN;0.512;1696.585;-7.75000;-39.37500;-18.62500;3
ACCE;0.517;1696.583;-0.19408;4.95053;7.79167;3
GYRO;0.519;1696.582;-0.16584;0.02175;0.14399;3
LIGH;0.520;1696.585;244.6;3
AHRS;0.522;1696.583;29.3847;-0.1005;-162.3969;-0.03797;0.25077;0.95594;3
MAGN;0.532;1696.605;-7.93750;-39.18750;-19.00000;3
ACCE;0.536;1696.603;-0.10921;4.98174;7.87154;3
GYRO;0.537;1696.601;-0.32596;-0.16282;0.21921;3
AHRS;0.538;1696.603;29.1958;-0.1683;-162.2089;-0.03757;0.24922;0.95613;3
MAGN;0.552;1696.625;-8.25000;-39.00000;-19.25000;3
ACCE;0.555;1696.623;-0.16790;4.93204;7.72813;3
GYRO;0.556;1696.621;-0.46892;-0.34128;0.30187;3
SOUN;0.558;167.35;0.00511;48.14
AHRS;0.560;1696.623;28.8415;-0.4773;-161.9394;-0.03510;0.24658;0.95664;3
MAGN;0.572;1696.645;-8.50000;-38.87500;-19.43750;3
ACCE;0.576;1696.643;-0.08963;4.65328;8.16815;3
GYRO;0.577;1696.641;-0.55493;-0.28997;0.36004;3
AHRS;0.578;1696.643;28.2744;-1.0822;-161.5370;-0.03014;0.24254;0.95748;3
MAGN;0.592;1696.665;-8.81250;-38.68750;-19.87500;3
ACCE;0.596;1696.663;0.17771;4.45131;8.68050;3
GYRO;0.597;1696.661;-0.48466;-0.15940;0.41303;3
AHRS;0.598;1696.663;27.6637;-1.5995;-161.1118;-0.02585;0.23803;0.95829;3
MAGN;0.613;1696.685;-9.00000;-38.62500;-19.93750;3
ACCE;0.617;1696.683;0.37622;4.22760;8.92544;3
GYRO;0.618;1696.682;-0.29819;0.17307;0.39300;3
PRES;0.619;1696.685;1006.3813;3
AHRS;0.619;1696.683;27.0677;-2.0408;-160.5751;-0.02241;0.23355;0.95885;3
MAGN;0.633;1696.705;-9.06250;-38.50000;-20.25000;3
ACCE;0.636;1696.703;0.55998;4.33102;8.83046;3
GYRO;0.636;1696.701;-0.16209;0.45375;0.34517;3
AHRS;0.637;1696.703;26.7296;-2.0652;-160.1087;-0.02265;0.23067;0.95886;3
MAGN;0.653;1696.725;-9.06250;-38.56250;-20.43750;3
ACCE;0.657;1696.723;0.61323;4.29980;8.48872;3
GYRO;0.658;1696.721;-0.14930;0.46103;0.26913;3
AHRS;0.659;1696.723;26.5209;-1.7252;-159.6509;-0.02609;0.22833;0.95853;3
MAGN;0.673;1696.745;-8.93750;-38.56250;-20.81250;3
ACCE;0.675;1696.742;0.09822;4.28013;8.56785;3
GYRO;0.676;1696.741;-0.24182;0.34716;0.25032;3
AHRS;0.677;1696.742;26.3598;-1.3863;-159.3452;-0.02929;0.22641;0.95831;3
MAGN;0.692;1696.765;-9.00000;-38.50000;-20.93750;3
ACCE;0.697;1696.763;-0.31699;4.21966;8.55819;3
GYRO;0.697;1696.761;-0.28887;0.08385;0.30084;3
AHRS;0.698;1696.763;26.0486;-1.1021;-159.0002;-0.03185;0.22329;0.95831;3
MAGN;0.713;1696.785;-9.18750;-38.37500;-21.31250;3
ACCE;0.716;1696.782;-0.16291;4.25426;8.96632;3
